Datas,Precipitacao_1954002,Precipitacao_2054019,Vazao_66926000,Precipitacao_2054005,Precipitacao_2054009,Precipitacao_2055003,Vazao_66941000,Precipitacao_2055002,Vazao_66945000
1994-02-01,0.0,22.0,81.9498,0.0,0.0,0.0,128.6276,0.0,184.1393
1994-02-02,0.0,12.0,76.3247,0.0,0.0,0.0,115.7693,0.0,140.1763
1994-02-03,1.4,0.0,76.9404,0.0,0.0,0.0,114.9884,0.0,133.7884
1994-02-04,0.0,0.0,65.0738,0.0,0.0,0.0,102.1427,0.0,135.3789
1994-02-05,0.0,24.0,58.407,0.0,0.0,0.0,88.707,0.0,112.5487
1994-02-06,0.0,32.0,53.6314,45.8,18.0,0.0,78.5251,10.0,101.529
1994-02-07,18.0,22.0,63.3751,2.2,17.5,20.1,74.5617,6.0,94.0705
1994-02-08,0.2,0.0,81.9498,17.1,17.0,0.0,118.9196,0.0,113.2438
1994-02-09,0.0,0.0,83.2256,0.0,0.0,4.0,143.6033,27.0,147.4438
1994-02-10,3.5,0.0,76.3247,0.0,0.0,0.0,131.9494,0.0,145.8215
1994-02-11,0.0,0.0,72.0809,0.0,0.0,0.0,115.7693,0.0,132.9947
1994-02-12,0.0,0.0,62.2545,0.0,0.0,0.0,103.5908,0.0,125.9016
1994-02-13,0.0,42.0,60.5913,0.0,0.0,0.0,100.7009,0.0,107.7034
1994-02-14,0.0,0.0,60.5913,6.3,7.0,0.0,92.8862,0.0,107.0142
1994-02-15,0.0,0.0,61.1433,6.8,0.0,1.0,82.5516,26.2,106.3258
1994-02-16,0.0,0.0,58.9495,5.6,0.0,0.0,90.0934,0.0,107.7034
1994-02-17,0.0,26.0,60.5913,11.6,21.6,0.0,92.8862,0.0,102.8956
1994-02-18,0.0,36.0,58.9495,0.0,0.0,1.5,92.1855,5.0,107.0142
1994-02-19,0.0,22.0,61.1433,0.0,8.0,0.0,92.8862,0.0,102.8956
1994-02-20,0.0,0.0,61.6977,17.7,2.0,48.5,105.0806,0.0,108.3933
1994-02-21,0.0,42.0,54.676,1.6,1.7,0.0,85.9543,0.0,109.0839
1994-02-22,57.8,22.0,76.9404,0.0,1.1,3.5,102.866,0.0,94.7444
1994-02-23,62.5,0.0,107.0547,4.9,2.5,0.5,146.9143,5.0,139.3741
1994-02-24,0.0,0.0,115.128,0.0,0.0,0.0,203.4097,14.0,192.734
1994-02-25,14.8,0.0,109.9583,5.9,0.0,7.1,174.3488,0.0,204.0405
