Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:66926000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
66926000;1;01/11/2025;;1;1;"62,6893";"27,7995";"40,8084";17;13;2;2;2;"0,0";0;"40,2564";"39,2504";"37,6662";"36,4988";"35,1592";"32,3701";"31,6451";"31,2856";"30,5725";"29,8673";"28,8245";"28,1392";"27,7995";"34,0302";"43,5581";"54,2137";"62,6893";"57,5327";"53,5149";"52,3598";"51,4446";"50,5371";"49,6374";"48,7455";"46,1167";"43,7686";"41,6855";"39,0506";"32,1881";"33,8438";;;;;;;;;;;;;;;2;2;2;;;;;;;;;2;2;2;2;;;0
66926000;1;01/10/2025;;1;1;"44,4031";"22,4827";"31,7626";15;26;1;1;1;"0,0";0;"25,9669";"26,6263";"27,2937";"28,4808";"27,6304";"26,6263";"26,2956";"25,9669";"25,6401";"25,3154";"25,3154";"28,3097";"28,6524";"27,6304";"44,4031";"43,9796";"41,2747";"40,6622";"41,0701";"36,4988";"33,4724";"30,5725";"25,9669";"25,4775";"24,5123";"22,4827";"28,6524";"43,3481";"43,3481";"42,0982";"41,0701";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66926000;1;01/09/2025;;1;1;"30,0429";"25,6401";"27,9435";1;29;2;2;2;"0,0";0;"30,0429";"30,0429";"29,8673";"29,6923";"29,6923";"29,3437";"29,3437";"29,1701";"28,997";"28,8245";"28,4808";"28,3097";"28,1392";"27,9691";"27,6304";"27,4618";"27,2937";"26,959";"26,959";"26,959";"26,959";"26,959";"26,959";"26,959";"27,6304";"27,1261";"26,959";"26,2956";"25,6401";"25,6401";;;2;2;2;2;2;2;2;;;;2;2;2;2;2;2;2;;;2;2;2;;;;;2;;;0
66926000;1;01/08/2025;;1;1;;;;;;0;0;0;"0,0";0;"6,0574";"5,2715";"4,398";"4,1915";"3,9899";"3,793";"3,6645";"6,6389";"6,9827";"6,7241";"6,4701";"6,3035";"6,1389";"5,9765";"5,8161";"5,7367";"5,5795";"5,5795";"5,3477";"5,1206";;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0
66926000;1;01/07/2025;;1;1;;;;;;0;0;0;;0;"36,306";"35,3491";"34,2172";"33,103";"32,1881";"30,0429";"28,6524";"34,0302";"35,9218";"30,3955";"25,4775";"22,178";"19,3832";"17,8483";"16,5059";"13,0173";"10,4512";"9,7242";"9,2204";"8,2516";"7,7867";"7,514";"7,246";"7,0699";"6,8097";"6,6389";"6,3035";;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
66926000;1;01/06/2025;;1;1;"76,098";"36,886";"50,2817";24;8;1;1;1;;0;"58,9842";"56,0986";"49,1905";"47,6416";"41,0701";"40,2564";"38,0593";"36,886";"63,4433";"55,1523";"54,682";"53,0514";"51,4446";"48,7455";"47,6416";"46,7673";"54,682";"52,3598";"49,1905";"48,7455";"43,9796";"42,0982";"40,8659";"76,098";"69,3687";"66,2454";"48,5238";"44,4031";"42,7209";"40,0542";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66926000;1;01/05/2025;;1;1;"109,9133";"46,333";"69,3207";1;27;3;3;3;"0,0";0;"109,9133";"107,3001";"104,0762";"92,2585";"83,4147";"72,0244";"62,4389";"62,9401";"58,2563";"86,0227";"109,2571";"107,6251";"62,6893";"59,2279";"61,1942";"58,7411";"57,0528";"54,2137";"52,1303";"49,6374";"49,1905";"50,7632";"49,6374";"49,1905";"47,6416";"46,9851";"46,333";"58,0146";"106,6515";"70,4252";"63,6956";;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
66926000;1;01/04/2025;;1;1;"371,7161";"53,5149";"140,5665";20;8;1;1;1;"0,0";0;"176,4575";"114,2244";"115,9038";"112,8894";"71,2226";"67,2787";"55,3882";"53,5149";"72,0244";"101,2152";"98,0815";"69,3687";"64,9645";"65,9882";"58,7411";"84,2797";"98,7045";"102,1646";"201,2529";"371,7161";"261,3217";"193,1773";"185,8342";"131,0514";"261,3217";"226,5273";"225,9072";"227,7701";"210,0989";"138,6056";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
66926000;1;01/03/2025;;1;1;"116,5789";"38,2566";"51,8523";13;8;1;1;1;"0,0";0;"46,1167";"56,0986";"47,2035";"62,9401";"45,042";"45,042";"43,9796";"38,2566";"40,0542";"41,4798";"42,0982";"45,6853";"116,5789";"111,2313";"63,6956";"47,4223";"45,256";"44,1911";"52,8204";"49,4137";"50,7632";"49,6374";"46,5499";"40,0542";"41,0701";"42,7209";"48,5238";"68,0589";"41,0701";"39,4506";"54,9169";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
66926000;1;01/02/2025;;1;1;"68,8433";"39,8525";"48,6547";9;22;1;1;1;"0,0";0;"48,7455";"44,8286";"41,2747";"44,1911";"50,7632";"55,6245";"57,0528";"44,4031";"68,8433";"57,5327";"47,2035";"48,9678";"46,9851";"44,6156";"46,1167";"47,6416";"48,5238";"50,0863";"52,1303";"51,9012";"49,8616";"39,8525";"42,5129";"43,7686";"41,6855";"52,5899";"47,8614";"46,7673";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
